1088423, 1136527, 83641
1088423, 1136527, 83641
1088265, 1136367, 83630
1088263, 1136365, 83630
1088242, 1136344, 83629
1087461, 1135563, 83497
1088207, 1136307, 83619
1088198, 1136298, 83571
1088164, 1136264, 83571
1088108, 1136208, 83570
1087428, 1135528, 83487
1087461, 1135563, 83497
1088108, 1136208, 83571
1088084, 1136184, 83566
1087913, 1136013, 83565
1087931, 1136031, 83568
1087770, 1135870, 83547
1087770, 1135870, 83547
1087772, 1135872, 83547
1087750, 1135870, 83547
1087761, 1135861, 83547
1087743, 1135843, 83544
1087743, 1135843, 83544
1087743, 1135843, 83544
1087730, 1135830, 83544
1087695, 1135795, 83542
1087427, 1135527, 83487
1087418, 1135516, 83484
1087267, 1135365, 83484
1087124, 1135222, 83473
1087124, 1135222, 83473
1087118, 1135216, 83473
1087066, 1135164, 83473
1086899, 1134997, 83406
1086729, 1134827, 83389
1086723, 1134821, 83389
1086704, 1134802, 83389
1084771, 1132869, 83331
1084771, 1132869, 83331
1084664, 1132762, 83328
1084420, 1132524, 83317
1083486, 1131589, 83222
1084442, 1132545, 83324
1084429, 1132532, 83324
1084416, 1132519, 83324
1084417, 1132520, 83324
1084251, 1132354, 83308
1084251, 1132354, 83308
1084245, 1132348, 83270
1084236, 1132339, 83270
1084236, 1132339, 83270
1083486, 1131589, 83222
1083486, 1131589, 83222
1083486, 1131589, 83222
1083486, 1131589, 83222
1083018, 1131112, 83190
1083483, 1131586, 83218
1083483, 1131586, 83218
1083147, 1131250, 83203
1083059, 1131162, 83178
1083039, 1131142, 83177
1083033, 1131136, 83177
1083027, 1131130, 83176
1083029, 1131130, 83176
1083067, 1131168, 83175
1083067, 1131168, 83175
1083067, 1131168, 83175
1083067, 1131168, 83175
1082995, 1131089, 83167
1082995, 1131089, 83167
1082932, 1131026, 83151
1082932, 1131026, 83151
1082906, 1131000, 83151
1082898, 1130992, 83149
1082880, 1130974, 83148
1082929, 1131023, 83149
1082893, 1130987, 83149
1083012, 1131106, 83152
1082807, 1130900, 83133
1082492, 1130585, 83107
1082490, 1130583, 83106
1080404, 1128508, 82849
1082489, 1130588, 83101
1082489, 1130588, 83101
1081579, 1129685, 82968
1082489, 1130588, 83101
1082557, 1130656, 83116
1082532, 1130631, 83112
1082502, 1130601, 83115
1082505, 1130604, 83115
1082505, 1130604, 83115
1082505, 1130604, 83115
1082504, 1130603, 83115
1081547, 1129653, 82968
1082504, 1130600, 83115
1082493, 1130589, 83111
1082493, 1130589, 83111
1082493, 1130589, 83111
1082489, 1130585, 83111
1082489, 1130585, 83111
1082489, 1130585, 83111
1082489, 1130585, 83111
1082371, 1130467, 83089
1082371, 1130467, 83089
1082318, 1130414, 83075
1044956, 1092980, 72753
1082316, 1130412, 83075
1082268, 1130364, 83074
1082353, 1130449, 83033
1082353, 1130449, 83033
1082353, 1130449, 83033
1082353, 1130449, 83033
1082353, 1130449, 83033
1082336, 1130441, 83031
1082336, 1130441, 83031
1082336, 1130441, 83031
1082336, 1130441, 83031
1082311, 1130416, 83031
1080405, 1128509, 82848
1082312, 1130417, 83031
1082318, 1130423, 83031
1082307, 1130412, 83031
1082307, 1130412, 83031
1081422, 1129527, 82957
1081374, 1129479, 82949
1081239, 1129344, 82927
1081592, 1129698, 82971
1081198, 1129303, 82924
1081215, 1129320, 82928
1080923, 1129028, 82885
1045563, 1093621, 72855
1080919, 1129024, 82883
1080856, 1128960, 82882
1080247, 1128341, 82847
1080248, 1128342, 82847
1080248, 1128342, 82847
1076341, 1124396, 82433
1079586, 1127680, 82845
1079586, 1127680, 82845
1079586, 1127680, 82845
1079586, 1127680, 82845
1079586, 1127680, 82845
1079332, 1127392, 82837
1079332, 1127392, 82837
1079332, 1127392, 82837
1079370, 1127430, 82837
1079370, 1127430, 82837
1079370, 1127430, 82837
1076334, 1124389, 82437
1079312, 1127372, 82823
1079262, 1127322, 82800
1079262, 1127322, 82800
1079162, 1127222, 82794
1079163, 1127223, 82794
1079163, 1127223, 82794
1077195, 1125246, 82524
1077195, 1125246, 82524
